AccountID,avg_amount,amount_std,transaction_count,avg_login,dbscan_risk,lof_risk,preferred_type,risk_score,ml_risk_score,final_risk_score,retention_segment,recommended_action,recommended_offer,communication_plan,expected_uplift
AC00001,82.56666666666666,70.40179046018646,9,1.0,0.0,0.1111111111111111,Debit,645.8711688657289,0.05555555555555555,322.96336221064223,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00002,325.44631578947366,192.29177356329356,19,1.0526315789473684,0.0,0.0,Debit,3293.718208898915,0.0,1646.8591044494574,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00003,278.39,148.54903035698348,11,1.0,0.0,0.0,Debit,3759.505527415919,0.0,1879.7527637079595,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00004,237.3295652173913,214.4790078619321,23,1.0,0.0,0.0,Debit,2213.1394552604497,0.0,1106.5697276302249,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00005,349.56333333333333,165.77632947587165,24,1.0,0.0,0.0,Debit,2414.5551626998104,0.0,1207.2775813499052,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00006,169.34066666666666,128.51442234054437,15,1.0,0.0,0.06666666666666667,Debit,1450.847766972105,0.03333333333333333,725.4405501527192,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00007,312.212,202.48309157392214,10,1.0,0.0,0.0,Debit,6321.764466471292,0.0,3160.882233235646,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00008,76.16,0.0,1,1.0,0.0,0.0,Debit,0.0,0.0,0.0,Dormant/New Customer,Engagement Campaign,Cashback incentives,Onboarding support,20–25%
AC00009,190.19916666666666,121.08450628746351,12,1.0,0.0,0.0,Credit,1919.1808560782888,0.0,959.5904280391444,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00010,463.9866666666667,467.8328521774316,18,1.0,0.0,0.0,Debit,12059.344087756768,0.0,6029.672043878384,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00011,371.0364285714286,314.029492333912,14,1.2857142857142858,0.0,0.0,Debit,8322.598069933962,0.0,4161.299034966981,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00012,376.8529411764706,349.84829409982666,17,1.0,0.0,0.0,Debit,7755.3735789245275,0.0,3877.6867894622637,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00013,192.20190476190476,145.8751537315059,21,1.0,0.0,0.047619047619047616,Debit,1335.118146167284,0.023809523809523808,667.5709778455468,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
